Reported Date,Confirmed Positive,Resolved,Deaths,Total Cases,Number of patients hospitalized with COVID-19,Number of patients in ICU due to COVID-19,"Number of patients in ICU, testing positive for COVID-19",Number of patients in ICU on a ventilator due to COVID-19,Num. of patients in ICU on a ventilator testing positive,New_cases,New_hospitalized,New_icu,country_region,sub_region_1,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,sd_score,standarized_sd_score
2020-02-17,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,Ontario,-26.0,-37.0,70.0,-40.0,-72.0,16.0,121.0,54.32937181663837
2020-02-18,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,Ontario,-1.0,12.0,-5.0,2.0,0.0,1.0,-7.0,32.597623089983024
2020-02-19,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,Ontario,0.0,4.0,-4.0,-2.0,1.0,0.0,1.0,33.95585738539898
2020-02-20,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,Ontario,4.0,4.0,3.0,0.0,2.0,0.0,-13.0,31.57894736842105
2020-02-21,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,Ontario,1.0,-3.0,11.0,-1.0,-7.0,1.0,0.0,33.78607809847199
2020-02-24,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Canada,Ontario,2.0,2.0,18.0,-2.0,2.0,0.0,-22.0,30.050933786078097
2020-02-25,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,Ontario,1.0,7.0,2.0,1.0,3.0,0.0,-14.0,31.40916808149406
2020-02-26,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,Ontario,-8.0,-5.0,-15.0,-6.0,-2.0,3.0,39.0,40.40747028862479
2020-02-27,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Canada,Ontario,-13.0,-12.0,-17.0,-5.0,-8.0,5.0,60.0,43.97283531409168
2020-02-28,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Canada,Ontario,-5.0,-4.0,-10.0,-1.0,-1.0,2.0,23.0,37.69100169779287
2020-03-02,15.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,Canada,Ontario,2.0,4.0,0.0,-2.0,4.0,0.0,-8.0,32.42784380305603
2020-03-03,17.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Canada,Ontario,1.0,3.0,-6.0,0.0,4.0,0.0,-2.0,33.446519524618
2020-03-04,17.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,Ontario,4.0,4.0,1.0,0.0,4.0,0.0,-13.0,31.57894736842105
2020-03-05,18.0,4.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Canada,Ontario,6.0,6.0,21.0,2.0,0.0,0.0,-35.0,27.843803056027166
2020-03-06,22.0,4.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Canada,Ontario,-3.0,-4.0,-4.0,-3.0,3.0,1.0,12.0,35.82342954159593
2020-03-07,24.0,4.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Canada,Ontario,10.0,9.0,41.0,8.0,9.0,-1.0,-78.0,20.54329371816638
2020-03-08,25.0,4.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Canada,Ontario,13.0,10.0,86.0,6.0,5.0,-1.0,-121.0,13.242784380305602
2020-03-09,31.0,4.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,Canada,Ontario,4.0,5.0,41.0,-3.0,3.0,1.0,-49.0,25.46689303904924
2020-03-10,31.0,5.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Canada,Ontario,1.0,4.0,-2.0,-4.0,3.0,1.0,-1.0,33.61629881154499
2020-03-11,37.0,5.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,Canada,Ontario,3.0,7.0,1.0,-5.0,2.0,1.0,-7.0,32.597623089983024
2020-03-12,54.0,5.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,Canada,Ontario,6.0,32.0,9.0,-6.0,1.0,1.0,-41.0,26.825127334465197
2020-03-13,74.0,5.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,Canada,Ontario,-3.0,41.0,-7.0,-16.0,-4.0,3.0,-8.0,32.42784380305603
2020-03-14,98.0,5.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,Canada,Ontario,-10.0,26.0,5.0,-17.0,0.0,3.0,-1.0,33.61629881154499
2020-03-15,140.0,5.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,Canada,Ontario,-10.0,14.0,44.0,-22.0,-6.0,4.0,-16.0,31.069609507640067
2020-03-16,172.0,5.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,Canada,Ontario,-12.0,27.0,10.0,-39.0,-31.0,11.0,56.0,43.2937181663837
2020-03-17,183.0,5.0,1.0,189.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,Canada,Ontario,-29.0,15.0,2.0,-46.0,-39.0,15.0,112.0,52.80135823429541
2020-03-18,208.0,5.0,1.0,214.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,Canada,Ontario,-36.0,1.0,1.0,-51.0,-44.0,17.0,146.0,58.57385398981324
2020-03-19,251.0,5.0,2.0,258.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,Canada,Ontario,-38.0,2.0,11.0,-54.0,-47.0,19.0,145.0,58.40407470288624
2020-03-20,311.0,5.0,2.0,318.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,Canada,Ontario,-45.0,-8.0,-15.0,-56.0,-49.0,21.0,194.0,66.723259762309
2020-03-21,369.0,6.0,2.0,377.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,Canada,Ontario,-48.0,-12.0,16.0,-49.0,-34.0,13.0,140.0,57.55517826825128
2020-03-22,412.0,8.0,5.0,425.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,Canada,Ontario,-51.0,-22.0,6.0,-55.0,-38.0,12.0,172.0,62.98811544991511
2020-03-23,489.0,8.0,6.0,503.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,Canada,Ontario,-47.0,-13.0,-39.0,-66.0,-55.0,22.0,242.0,74.87266553480475
2020-03-24,572.0,8.0,8.0,588.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,Canada,Ontario,-48.0,-12.0,-6.0,-64.0,-57.0,22.0,209.0,69.26994906621393
2020-03-25,667.0,8.0,13.0,688.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Canada,Ontario,-54.0,-23.0,5.0,-67.0,-61.0,25.0,225.0,71.98641765704585
2020-03-26,835.0,8.0,15.0,858.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,Canada,Ontario,-55.0,-22.0,-10.0,-68.0,-61.0,26.0,242.0,74.87266553480475
2020-03-27,967.0,8.0,18.0,993.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,Canada,Ontario,-54.0,-21.0,10.0,-67.0,-61.0,26.0,219.0,70.96774193548387
