Reported Date,Confirmed Positive,Resolved,Deaths,Total Cases,Number of patients hospitalized with COVID-19,Number of patients in ICU due to COVID-19,"Number of patients in ICU, testing positive for COVID-19",Number of patients in ICU on a ventilator due to COVID-19,Num. of patients in ICU on a ventilator testing positive,New_cases,New_hospitalized,New_icu
2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-30,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-31,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-04,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-25,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-28,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-02,15.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
2020-03-03,17.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2020-03-04,17.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,18.0,4.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2020-03-06,22.0,4.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2020-03-07,24.0,4.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2020-03-08,25.0,4.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-09,31.0,4.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2020-03-10,31.0,5.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-11,37.0,5.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2020-03-12,54.0,5.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
2020-03-13,74.0,5.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
2020-03-14,98.0,5.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0
2020-03-15,140.0,5.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0
2020-03-16,172.0,5.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0
2020-03-17,183.0,5.0,1.0,189.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
2020-03-18,208.0,5.0,1.0,214.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
2020-03-19,251.0,5.0,2.0,258.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0
2020-03-20,311.0,5.0,2.0,318.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
2020-03-21,369.0,6.0,2.0,377.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0
2020-03-22,412.0,8.0,5.0,425.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0
2020-03-23,489.0,8.0,6.0,503.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0
2020-03-24,572.0,8.0,8.0,588.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0
2020-03-25,667.0,8.0,13.0,688.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2020-03-26,835.0,8.0,15.0,858.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0
2020-03-27,967.0,8.0,18.0,993.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0
2020-03-28,1117.0,8.0,19.0,1144.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0
2020-03-29,1324.0,8.0,23.0,1355.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0
2020-03-30,1252.0,431.0,23.0,1706.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0
2020-03-31,1399.0,534.0,33.0,1966.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0
2020-04-01,1681.0,674.0,37.0,2392.0,0.0,0.0,0.0,0.0,0.0,426.0,0.0,0.0
2020-04-02,1909.0,831.0,53.0,2793.0,405.0,0.0,167.0,0.0,112.0,401.0,405.0,0.0
2020-04-03,2165.0,1023.0,67.0,3255.0,462.0,0.0,194.0,0.0,140.0,462.0,57.0,0.0
2020-04-04,2317.0,1219.0,94.0,3630.0,506.0,0.0,196.0,0.0,152.0,375.0,44.0,0.0
2020-04-05,2470.0,1449.0,119.0,4038.0,523.0,0.0,200.0,0.0,154.0,408.0,17.0,0.0
2020-04-06,2591.0,1624.0,132.0,4347.0,589.0,0.0,216.0,0.0,160.0,309.0,66.0,0.0
2020-04-07,2771.0,1802.0,153.0,4726.0,614.0,0.0,233.0,0.0,187.0,379.0,25.0,0.0
2020-04-08,3028.0,2074.0,174.0,5276.0,605.0,0.0,246.0,0.0,195.0,550.0,-9.0,0.0
2020-04-09,3254.0,2305.0,200.0,5759.0,632.0,0.0,264.0,0.0,214.0,483.0,27.0,0.0
2020-04-10,3441.0,2574.0,222.0,6237.0,673.0,0.0,260.0,0.0,217.0,478.0,41.0,0.0
2020-04-11,3537.0,2858.0,253.0,6648.0,691.0,0.0,257.0,0.0,215.0,411.0,18.0,0.0
2020-04-12,3654.0,3121.0,274.0,7049.0,738.0,0.0,261.0,0.0,196.0,401.0,47.0,0.0
2020-04-13,3822.0,3357.0,291.0,7470.0,760.0,0.0,263.0,0.0,203.0,421.0,22.0,0.0
2020-04-14,4051.0,3568.0,334.0,7953.0,769.0,0.0,255.0,0.0,199.0,483.0,9.0,0.0
2020-04-15,4160.0,3902.0,385.0,8447.0,795.0,0.0,254.0,0.0,188.0,494.0,26.0,0.0
2020-04-16,4344.0,4194.0,423.0,8961.0,807.0,0.0,248.0,0.0,200.0,514.0,12.0,0.0
2020-04-17,4491.0,4556.0,478.0,9525.0,829.0,0.0,245.0,0.0,200.0,564.0,22.0,0.0
2020-04-18,4621.0,4875.0,514.0,10010.0,828.0,0.0,250.0,0.0,197.0,485.0,-1.0,0.0
2020-04-19,4816.0,5209.0,553.0,10578.0,809.0,0.0,247.0,0.0,196.0,568.0,-19.0,0.0
2020-04-20,5085.0,5515.0,584.0,11184.0,802.0,0.0,247.0,0.0,193.0,606.0,-7.0,0.0
2020-04-21,5307.0,5806.0,622.0,11735.0,859.0,0.0,250.0,0.0,194.0,551.0,57.0,0.0
2020-04-22,5365.0,6221.0,659.0,12245.0,878.0,0.0,243.0,0.0,192.0,510.0,19.0,0.0
2020-04-23,5486.0,6680.0,713.0,12879.0,887.0,0.0,233.0,0.0,185.0,634.0,9.0,0.0
2020-04-24,5669.0,7087.0,763.0,13519.0,910.0,0.0,243.0,0.0,193.0,640.0,23.0,0.0
2020-04-25,5675.0,7509.0,811.0,13995.0,925.0,0.0,245.0,0.0,195.0,476.0,15.0,0.0
2020-04-26,5597.0,8000.0,835.0,14432.0,938.0,0.0,252.0,0.0,195.0,437.0,13.0,0.0
2020-04-27,5439.0,8525.0,892.0,14856.0,945.0,0.0,241.0,0.0,191.0,424.0,7.0,0.0
2020-04-28,5466.0,8964.0,951.0,15381.0,957.0,0.0,239.0,0.0,187.0,525.0,12.0,0.0
2020-04-29,5120.0,9612.0,996.0,15728.0,977.0,0.0,235.0,0.0,186.0,347.0,20.0,0.0
2020-04-30,4900.0,10205.0,1082.0,16187.0,999.0,0.0,233.0,0.0,181.0,459.0,22.0,0.0
2020-05-01,4662.0,10825.0,1121.0,16608.0,1017.0,244.0,225.0,187.0,175.0,421.0,18.0,244.0
2020-05-02,4553.0,11390.0,1176.0,17119.0,977.0,236.0,221.0,178.0,154.0,511.0,-40.0,-8.0
2020-05-03,4332.0,12005.0,1216.0,17553.0,1010.0,246.0,232.0,184.0,174.0,434.0,33.0,10.0
2020-05-04,4118.0,12505.0,1300.0,17923.0,984.0,243.0,225.0,189.0,175.0,370.0,-26.0,-3.0
2020-05-05,4170.0,12779.0,1361.0,18310.0,1043.0,243.0,223.0,187.0,166.0,387.0,59.0,0.0
2020-05-06,4071.0,13222.0,1429.0,18722.0,1032.0,240.0,219.0,189.0,174.0,412.0,-11.0,-3.0
2020-05-07,4075.0,13569.0,1477.0,19121.0,1033.0,234.0,220.0,175.0,155.0,399.0,1.0,-6.0
2020-05-08,4068.0,13990.0,1540.0,19598.0,1028.0,230.0,213.0,177.0,166.0,477.0,-5.0,-4.0
2020-05-09,3962.0,14383.0,1599.0,19944.0,1016.0,218.0,203.0,171.0,158.0,346.0,-12.0,-12.0
2020-05-10,3832.0,14772.0,1634.0,20238.0,961.0,211.0,195.0,161.0,140.0,294.0,-55.0,-7.0
2020-05-11,3746.0,15131.0,1669.0,20546.0,1027.0,215.0,194.0,164.0,147.0,308.0,66.0,4.0
2020-05-12,3791.0,15391.0,1725.0,20907.0,1025.0,211.0,192.0,157.0,146.0,361.0,-2.0,-4.0
2020-05-13,3626.0,15845.0,1765.0,21236.0,1018.0,207.0,189.0,160.0,144.0,329.0,-7.0,-4.0
2020-05-14,3579.0,16204.0,1798.0,21581.0,1026.0,201.0,184.0,156.0,141.0,345.0,8.0,-6.0
2020-05-15,3456.0,16641.0,1825.0,21922.0,986.0,194.0,179.0,147.0,135.0,341.0,-40.0,-7.0
2020-05-16,3435.0,17020.0,1858.0,22313.0,975.0,196.0,180.0,151.0,135.0,391.0,-11.0,2.0
2020-05-17,3412.0,17360.0,1881.0,22653.0,934.0,188.0,171.0,144.0,129.0,340.0,-41.0,-8.0
2020-05-18,3415.0,17638.0,1904.0,22957.0,972.0,190.0,174.0,144.0,133.0,304.0,38.0,2.0
2020-05-19,3567.0,17898.0,1919.0,23384.0,987.0,192.0,167.0,142.0,123.0,427.0,15.0,2.0
2020-05-20,3622.0,18190.0,1962.0,23774.0,991.0,185.0,160.0,137.0,120.0,390.0,4.0,-7.0
2020-05-21,3685.0,18509.0,1993.0,24187.0,984.0,181.0,155.0,137.0,117.0,413.0,-7.0,-4.0
