country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,sd_score,standarized_sd_score
Canada,Ontario,Hamilton,2020-02-15,3.0,6.0,6.0,-9.0,0.0,-1.0,-7.0,32.1483771251932
Canada,Ontario,Hamilton,2020-02-16,10.0,14.0,23.0,-5.0,-5.0,-2.0,-39.0,27.202472952086552
Canada,Ontario,Hamilton,2020-02-17,-34.0,-62.0,44.0,-41.0,-74.0,16.0,183.0,61.514683153013905
Canada,Ontario,Hamilton,2020-02-18,1.0,18.0,-2.0,-11.0,-2.0,1.0,-3.0,32.766615146831526
Canada,Ontario,Hamilton,2020-02-19,-1.0,7.0,-2.0,-13.0,1.0,1.0,9.0,34.62132921174652
Canada,Ontario,Hamilton,2020-02-20,2.0,6.0,2.0,-13.0,1.0,0.0,2.0,33.53941267387944
Canada,Ontario,Hamilton,2020-02-21,0.0,-1.0,-3.0,-18.0,-8.0,2.0,32.0,38.17619783616693
Canada,Ontario,Hamilton,2020-02-22,8.0,9.0,31.0,-4.0,6.0,-1.0,-51.0,25.347758887171562
Canada,Ontario,Hamilton,2020-02-23,7.0,6.0,50.0,-7.0,2.0,-1.0,-59.0,24.111282843894898
Canada,Ontario,Hamilton,2020-02-24,3.0,5.0,19.0,-3.0,3.0,0.0,-27.0,29.057187017001546
Canada,Ontario,Hamilton,2020-02-25,0.0,8.0,0.0,-7.0,4.0,0.0,-5.0,32.45749613601237
Canada,Ontario,Hamilton,2020-02-26,-10.0,-5.0,-13.0,-12.0,0.0,3.0,43.0,39.876352395672335
Canada,Ontario,Hamilton,2020-02-27,-8.0,-4.0,-14.0,-11.0,-1.0,3.0,41.0,39.56723338485317
Canada,Ontario,Hamilton,2020-02-28,0.0,3.0,-7.0,-11.0,0.0,1.0,16.0,35.7032457496136
Canada,Ontario,Hamilton,2020-02-29,8.0,13.0,4.0,-6.0,8.0,-1.0,-28.0,28.90262751159196
Canada,Ontario,Hamilton,2020-03-01,7.0,11.0,17.0,-6.0,4.0,-1.0,-34.0,27.97527047913447
Canada,Ontario,Hamilton,2020-03-02,3.0,8.0,-2.0,-11.0,3.0,1.0,0.0,33.23029366306028
Canada,Ontario,Hamilton,2020-03-03,2.0,8.0,-4.0,-9.0,4.0,0.0,-1.0,33.07573415765069
Canada,Ontario,Hamilton,2020-03-04,5.0,9.0,14.0,-6.0,6.0,0.0,-28.0,28.90262751159196
Canada,Ontario,Hamilton,2020-03-05,9.0,11.0,21.0,-5.0,2.0,0.0,-38.0,27.35703245749614
Canada,Ontario,Hamilton,2020-03-06,-5.0,-4.0,-7.0,-13.0,-5.0,4.0,38.0,39.10355486862442
Canada,Ontario,Hamilton,2020-03-07,12.0,15.0,37.0,-5.0,7.0,-1.0,-67.0,22.874806800618238
Canada,Ontario,Hamilton,2020-03-08,9.0,12.0,87.0,-2.0,1.0,-1.0,-108.0,16.537867078825347
