country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,sd_score,standarized_sd_score
Canada,Ontario,,2020-02-15,2.0,3.0,20.0,5.0,1.0,-1.0,-32.0,28.35314091680815
Canada,Ontario,,2020-02-16,16.0,13.0,44.0,5.0,-2.0,-2.0,-78.0,20.54329371816638
Canada,Ontario,,2020-02-17,-26.0,-37.0,70.0,-40.0,-72.0,16.0,121.0,54.32937181663837
Canada,Ontario,,2020-02-18,-1.0,12.0,-5.0,2.0,0.0,1.0,-7.0,32.597623089983024
Canada,Ontario,,2020-02-19,0.0,4.0,-4.0,-2.0,1.0,0.0,1.0,33.95585738539898
Canada,Ontario,,2020-02-20,4.0,4.0,3.0,0.0,2.0,0.0,-13.0,31.57894736842105
Canada,Ontario,,2020-02-21,1.0,-3.0,11.0,-1.0,-7.0,1.0,0.0,33.78607809847199
Canada,Ontario,,2020-02-22,8.0,6.0,44.0,11.0,7.0,-2.0,-78.0,20.54329371816638
Canada,Ontario,,2020-02-23,12.0,6.0,53.0,9.0,5.0,-1.0,-86.0,19.185059422750424
Canada,Ontario,,2020-02-24,2.0,2.0,18.0,-2.0,2.0,0.0,-22.0,30.050933786078097
Canada,Ontario,,2020-02-25,1.0,7.0,2.0,1.0,3.0,0.0,-14.0,31.40916808149406
Canada,Ontario,,2020-02-26,-8.0,-5.0,-15.0,-6.0,-2.0,3.0,39.0,40.407470288624786
Canada,Ontario,,2020-02-27,-13.0,-12.0,-17.0,-5.0,-8.0,5.0,60.0,43.97283531409168
Canada,Ontario,,2020-02-28,-5.0,-4.0,-10.0,-1.0,-1.0,2.0,23.0,37.69100169779287
Canada,Ontario,,2020-02-29,5.0,6.0,9.0,6.0,8.0,-1.0,-35.0,27.843803056027166
Canada,Ontario,,2020-03-01,11.0,10.0,23.0,4.0,6.0,-1.0,-55.0,24.448217317487266
Canada,Ontario,,2020-03-02,2.0,4.0,0.0,-2.0,4.0,0.0,-8.0,32.42784380305603
Canada,Ontario,,2020-03-03,1.0,3.0,-6.0,0.0,4.0,0.0,-2.0,33.446519524618
Canada,Ontario,,2020-03-04,4.0,4.0,1.0,0.0,4.0,0.0,-13.0,31.57894736842105
Canada,Ontario,,2020-03-05,6.0,6.0,21.0,2.0,0.0,0.0,-35.0,27.843803056027166
Canada,Ontario,,2020-03-06,-3.0,-4.0,-4.0,-3.0,3.0,1.0,12.0,35.82342954159593
Canada,Ontario,,2020-03-07,10.0,9.0,41.0,8.0,9.0,-1.0,-78.0,20.54329371816638
Canada,Ontario,,2020-03-08,13.0,10.0,86.0,6.0,5.0,-1.0,-121.0,13.242784380305602
Canada,Ontario,,2020-03-09,4.0,5.0,41.0,-3.0,3.0,1.0,-49.0,25.46689303904924
Canada,Ontario,,2020-03-10,1.0,4.0,-2.0,-4.0,3.0,1.0,-1.0,33.61629881154499
Canada,Ontario,,2020-03-11,3.0,7.0,1.0,-5.0,2.0,1.0,-7.0,32.597623089983024
Canada,Ontario,,2020-03-12,6.0,32.0,9.0,-6.0,1.0,1.0,-41.0,26.825127334465193
Canada,Ontario,,2020-03-13,-3.0,41.0,-7.0,-16.0,-4.0,3.0,-8.0,32.42784380305603
Canada,Ontario,,2020-03-14,-10.0,26.0,5.0,-17.0,0.0,3.0,-1.0,33.61629881154499
Canada,Ontario,,2020-03-15,-10.0,14.0,44.0,-22.0,-6.0,4.0,-16.0,31.069609507640067
Canada,Ontario,,2020-03-16,-12.0,27.0,10.0,-39.0,-31.0,11.0,56.0,43.2937181663837
Canada,Ontario,,2020-03-17,-29.0,15.0,2.0,-46.0,-39.0,15.0,112.0,52.801358234295414
Canada,Ontario,,2020-03-18,-36.0,1.0,1.0,-51.0,-44.0,17.0,146.0,58.57385398981324
Canada,Ontario,,2020-03-19,-38.0,2.0,11.0,-54.0,-47.0,19.0,145.0,58.40407470288624
Canada,Ontario,,2020-03-20,-45.0,-8.0,-15.0,-56.0,-49.0,21.0,194.0,66.723259762309
Canada,Ontario,,2020-03-21,-48.0,-12.0,16.0,-49.0,-34.0,13.0,140.0,57.555178268251275
Canada,Ontario,,2020-03-22,-51.0,-22.0,6.0,-55.0,-38.0,12.0,172.0,62.98811544991511
Canada,Ontario,,2020-03-23,-47.0,-13.0,-39.0,-66.0,-55.0,22.0,242.0,74.87266553480475
Canada,Ontario,,2020-03-24,-48.0,-12.0,-6.0,-64.0,-57.0,22.0,209.0,69.26994906621393
Canada,Ontario,,2020-03-25,-54.0,-23.0,5.0,-67.0,-61.0,25.0,225.0,71.98641765704585
Canada,Ontario,,2020-03-26,-55.0,-22.0,-10.0,-68.0,-61.0,26.0,242.0,74.87266553480475
Canada,Ontario,,2020-03-27,-54.0,-21.0,10.0,-67.0,-61.0,26.0,219.0,70.96774193548387
Canada,Ontario,,2020-03-28,-60.0,-29.0,-31.0,-65.0,-46.0,16.0,247.0,75.72156196943973
Canada,Ontario,,2020-03-29,-59.0,-33.0,-14.0,-66.0,-46.0,14.0,232.0,73.1748726655348
Canada,Ontario,,2020-03-30,-55.0,-27.0,-34.0,-71.0,-63.0,25.0,275.0,80.4753820033956
Canada,Ontario,,2020-03-31,-51.0,-17.0,-27.0,-69.0,-62.0,24.0,250.0,76.23089983022071
Canada,Ontario,,2020-04-01,-51.0,-21.0,1.0,-69.0,-63.0,25.0,228.0,72.49575551782682
Canada,Ontario,,2020-04-02,-51.0,-20.0,3.0,-69.0,-63.0,26.0,226.0,72.15619694397284
Canada,Ontario,,2020-04-03,-55.0,-22.0,-28.0,-70.0,-62.0,27.0,264.0,78.60780984719864
Canada,Ontario,,2020-04-04,-57.0,-27.0,-18.0,-63.0,-46.0,16.0,227.0,72.32597623089984
Canada,Ontario,,2020-04-05,-60.0,-32.0,-11.0,-67.0,-47.0,14.0,231.0,73.00509337860781
Canada,Ontario,,2020-04-06,-55.0,-23.0,-5.0,-70.0,-63.0,24.0,240.0,74.53310696095076
Canada,Ontario,,2020-04-07,-55.0,-18.0,-21.0,-69.0,-63.0,25.0,251.0,76.4006791171477
Canada,Ontario,,2020-04-08,-52.0,-14.0,-10.0,-69.0,-64.0,25.0,234.0,73.5144312393888
Canada,Ontario,,2020-04-09,-44.0,7.0,-31.0,-68.0,-64.0,25.0,225.0,71.98641765704585
Canada,Ontario,,2020-04-10,-82.0,-67.0,-38.0,-81.0,-86.0,36.0,390.0,100.0
Canada,Ontario,,2020-04-11,-54.0,-9.0,-20.0,-62.0,-48.0,16.0,209.0,69.26994906621393
Canada,Ontario,,2020-04-12,-80.0,-68.0,-20.0,-70.0,-55.0,15.0,308.0,86.07809847198642
Canada,Ontario,,2020-04-13,-58.0,-25.0,-47.0,-75.0,-69.0,27.0,301.0,84.88964346349745
Canada,Ontario,,2020-04-14,-52.0,-14.0,-31.0,-70.0,-63.0,25.0,255.0,77.07979626485569
Canada,Ontario,,2020-04-15,-53.0,-20.0,-37.0,-70.0,-63.0,26.0,269.0,79.45670628183362
Canada,Ontario,,2020-04-16,-54.0,-19.0,-32.0,-70.0,-63.0,27.0,265.0,78.77758913412563
Canada,Ontario,,2020-04-17,-56.0,-23.0,-33.0,-69.0,-62.0,28.0,271.0,79.79626485568761
Canada,Ontario,,2020-04-18,-58.0,-27.0,-11.0,-58.0,-43.0,15.0,212.0,69.77928692699491
Canada,Ontario,,2020-04-19,-61.0,-36.0,-36.0,-66.0,-44.0,14.0,257.0,77.41935483870968
Canada,Ontario,,2020-04-20,-53.0,-23.0,-5.0,-68.0,-62.0,24.0,235.0,73.68421052631578
