Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-83.09,42.1,AMHERSTBURG,6130257,2020-01-01,2020,1,1,†,3.5,,-3.5,,0,,18,,0,,0,,0,,0,,1,,,,,
-83.09,42.1,AMHERSTBURG,6130257,2020-01-02,2020,1,2,†,10,,1,,5.5,,12.5,,0,,0,,0,,0,,0,,,,,
-83.09,42.1,AMHERSTBURG,6130257,2020-01-03,2020,1,3,†,7,,0.5,,3.8,,14.2,,0,,0.4,,0,,0.4,,0,,,,,
-83.09,42.1,AMHERSTBURG,6130257,2020-01-04,2020,1,4,†,3,,0.5,,1.8,,16.2,,0,,0,,0.6,,0.6,,0,,,,,
-83.09,42.1,AMHERSTBURG,6130257,2020-01-05,2020,1,5,†,4.5,,-1.5,,1.5,,16.5,,0,,0,,1,,1,,0,,,,,
-83.09,42.1,AMHERSTBURG,6130257,2020-01-06,2020,1,6,†,7,,-0.5,,3.3,,14.7,,0,,0,,0,,0,,0,,,,,
-83.09,42.1,AMHERSTBURG,6130257,2020-01-07,2020,1,7,†,7.5,,-3.5,,2,,16,,0,,0,,0,T,0,T,0,,,,,
-83.09,42.1,AMHERSTBURG,6130257,2020-01-08,2020,1,8,†,-3,,-5,,-4,,22,,0,,0,,0,T,0,T,0,T,,,,
-83.09,42.1,AMHERSTBURG,6130257,2020-01-09,2020,1,9,†,7.5,,-10.5,,-1.5,,19.5,,0,,2.4,,0,,2.4,,0,,,,,
-83.09,42.1,AMHERSTBURG,6130257,2020-01-10,2020,1,10,†,11.5,,4,,7.8,,10.2,,0,,11.4,,0,,11.4,,0,,,,,
-83.09,42.1,AMHERSTBURG,6130257,2020-01-11,2020,1,11,†,12,,2,,7,,11,,0,,42,,0,T,42,,0,,,,,
-83.09,42.1,AMHERSTBURG,6130257,2020-01-12,2020,1,12,†,0,,-4.5,,-2.3,,20.3,,0,,0,,1,,1,,0,T,,,,
-83.09,42.1,AMHERSTBURG,6130257,2020-01-13,2020,1,13,†,4.5,,-2,,1.3,,16.7,,0,,0,,0,,0,,1,,,,,
-83.09,42.1,AMHERSTBURG,6130257,2020-01-14,2020,1,14,†,7,,-1.5,,2.8,,15.2,,0,,0,,0,,0,,0,,,,,
-83.09,42.1,AMHERSTBURG,6130257,2020-01-15,2020,1,15,†,6,,-4,,1,,17,,0,,1,,0,,1,,0,,,,,
